Chain,DeFi Application,Transaction Hash
ETH,Stargate,0xf4084718d4a0a567a7ac97d16842fb7919082a8552a032071a14c8639322b516
ETH,Synthetix,0x8031a99dbbf77a563b65ef2a212688abc5817b9bf01e3913ac7a7099458567bd
ETH,Voyager,0x5135a315c875d0eb885359d3e492c4f4cb418de5322d257d1dde19e1f5379878
ETH,Hex,0x6296eb49075bc86720b19ed0c86855b8b5a261503c39e0844952dc9da0136c0c
ETH,ShibaSwap,0x4392c9a41b5461deb118254c84a728cc77f867ba168e6798aa0db4310797f2b4
BSC,BiSwap,0x774d376a9f5814e911cb17f617f787fee1da8daecdfb2e51195ccdb89b8ba866
ETH,Inverse Finance FiRM,0xcb468c4595ffc34d35fedf117cfed8014d65332663cfdb8b93cc5591f2235b65
ETH,Ankr,0x13da79aa1cbb10daf912bc6ebf176c0c9632acc1bb8150bc3e60c631cc57743d
ETH,Liquity,0xf244cf8ea231d0bba4802b939fef4b74f1decad7d2d7f24b4ba4633b81e07668
BSC,Bitgert,0xbce4d78718abf49eca5aeaa085e90f9ca5b9ffe9857ed6b1b4300b1d61f8d2eb
ETH,AAVE V2,0xf9d27dbbbb996d347dff5590841351ab2bffa2e2bc0daaab4e41e84091b11ab8
ETH,AAVE V2,0xe1d429dbbab856cd4f700705d34a4cab9475dec069e618cfb6ab9b855ce6ee3f
ETH,Ankr,0xeef63257e989dda2f0599e35c9e636433f23fa4c4fedcbb1dc7d19bbe0b763b7
ETH,Liquity,0x1a55492d48d412e24640e4bde86e808349282f5b6fe5b72995ad58ebc68d2e76
ETH,UniFi,0xd7f64b94f8aac627857fcbcf9c914c2a5fbaff366875b8d1cb4db87a1e7eadba
ETH,Yearn Finance,0x1899c2ffa51be30a4aa51c20950309c77c94be32d492e7a7c4d9f7268acadd4a
ETH,Uniswap V3,0x20f705d4de76ebd24acaacde170efac0cb64806ec2c0a0e054d2d92b84678d5c
ETH,CreamSwap,0xf6a9cf10407f1ffa4c0a09b9a34217020eb8366ea7b41196a2aecef6abc979e1
ETH,Compound V3,0x73ac47c2bba5b2ac4bd29cae51db02f9426b278c4cefba99f82223ab8818126e
